"Public Price","Product/Barcode"
"1.49","4011905042060"
"5.55","4011905042374"
"6.390000000000001","4011905045924"
"1.0","4011905052502"
"1.36","4011905053097"
"2.23","4011905053554"
"1.36","4011905054216"
"1.25","4011905054254"
"1.5","4011905060347"
"0.9","4011905061832"
"2.69","4011905062884"
"4.78","4011905062907"
"37.52","4011905064000"
"2.13","4011905073088"
"2.58","4011905244792"
"5.49","4011905247731"
"5.5","4011905253954"
"1.9000000000000001","4011905256313"
"6.11","4011905286730"
"7.16","4011905286747"
"8.02","4011905286754"
"8.88","4011905286761"
"9.75","4011905286778"
"12.280000000000001","4011905286785"
"24.04","4011905288512"
"33.53","4011905288727"
"22.3","4011905289090"
"59.7","4011905289403"
"31.17","4011905289502"
"31.17","4011905289557"
"36.6","4011905289571"
"4.0","4011905291826"
"3.7","4011905291918"
"2.5","4011905294100"
"3.59","4011905294155"
"3.59","4011905294162"
"9.64","4011905318211"
"3.31","4011905318844"
"6.67","4011905326221"
"4.38","4011905337111"
"5.8","4011905337128"
"8.63","4011905337135"
"10.11","4011905337180"
"2.96","4011905347707"
"2.96","4011905347721"
"2.96","4011905347738"
"5.18","4011905347769"
"5.18","4011905347776"
"5.18","4011905347783"
"8.52","4011905354101"
"26.740000000000002","4011905362298"
"24.04","4011905362311"
"26.740000000000002","4011905362342"
"59.77","4011905362533"
"17.76","4011905368955"
"101.41","4011905379418"
"31.17","4011905379685"
"23.04","4011905379944"
"13.31","4011905380803"
"81.94","4011905394565"
"15.57","4011905398112"
"15.57","4011905398129"
"15.57","4011905398198"
"22.18","4011905398228"
"15.63","4011905398297"
"9.64","4011905401218"
"2.96","4011905418643"
"7.51","4011905419640"
"1.5","4011905424217"
"16.02","4011905431123"
"10.64","4011905431918"
"17.81","4011905433318"
"12.88","4011905434377"
"14.450000000000001","4011905480039"
"16.88","4011905589695"
"2.13","4011905600710"
"1.8900000000000001","4018761116065"
"1.8900000000000001","4018761116164"
"1.8900000000000001","4018761116263"
"1.77","4018761117000"
"1.77","4018761117017"
"1.77","4018761117024"
"8.52","4018761120307"
"2.12","4018761125142"
"3.34","4018761126002"
"4.13","4018761140100"
"4.13","4018761140107"
"3.8000000000000003","4018761140145"
"4.13","4018761140200"
"4.13","4018761140206"
"4.6000000000000005","4018761142064"
"17.25","4018761142118"
"13.65","4018761142125"
"2.95","4018761142224"
"2.95","4018761142231"
"2.95","4018761142248"
"1.6","4018761142514"
"1.6","4018761142521"
"1.6","4018761142538"
"1.6","4018761142576"
"1.6","4018761144105"
"14.790000000000001","4018761160303"
"9.26","4018761160600"
"21.7","4018761160617"
"11.1","4018761160624"
"3.34","4018761160709"
"24.53","4018761160808"
"24.53","4018761160815"
"3.1","4018761161003"
"5.55","4018761161010"
"6.36","4018761170111"
"9.41","4018761170128"
"3.1","4018761170135"
"4.33","4018761170142"
"27.12","4018761170180"
"9.120000000000001","4018761170197"
"7.65","4018761170210"
"7.65","4018761170227"
"2.24","4018761170319"
"6.72","4018761175802"
"6.72","4018761175819"
"6.72","4018761175840"
"6.72","4018761175857"
"67.5","4018761177011"
"42.5","4018761177028"
"14.200000000000001","4018761177035"
"14.1","4018761177301"
"29.2","4018761177356"
"17.5","4018761177363"
"1.99","4018761180639"
"3.19","4018761181360"
"3.19","4018761181384"
"2.95","4018761182435"
"3.1","4018761183074"
"9.4","4018761200696"
"9.4","4018761200948"
"9.4","4018761201006"
"7.4","4018761209248"
"5.7700000000000005","4018761250035"
"7.7700000000000005","4018761250059"
"16.47","4018761250073"
"0.0","4018761250165"
"5.83","4018761250233"
"7.7700000000000005","4018761250257"
"16.47","4018761250271"
"11.65","4018761250653"
